#Epoch	SRC_TRAIN	TRG_TRAIN	SRC_TEST	TRG_TEST	TRG_MSE	TRG_LOSS	LBL_MSE	LBL_LOSS
0	0.853320	0.854724	0.835244	0.835244	0.114932	6.475511	0.144652
1	0.882510	0.885386	0.876688	0.876688	0.086049	5.572005	0.116458
2	0.887116	0.890122	0.890739	0.890739	0.069237	4.810234	0.074418
3	0.886354	0.889201	0.898839	0.898839	0.058068	4.161390	0.055085
4	0.886238	0.889493	0.902355	0.902355	0.049625	3.604858	0.047131
5	0.891758	0.894925	0.911634	0.911634	0.039332	3.119426	0.045958
6	0.893172	0.896493	0.909731	0.909731	0.035431	2.709091	0.036487
7	0.896530	0.899982	0.911234	0.911234	0.030851	2.351346	0.046373
8	0.900123	0.903464	0.914775	0.914775	0.027355	2.042562	0.026717
9	0.901257	0.904664	0.916035	0.916035	0.027167	1.783581	0.035306
10	0.904912	0.908377	0.916585	0.916585	0.025327	1.554609	0.038943
11	0.906863	0.910343	0.918075	0.918075	0.024561	1.359055	0.033726
12	0.907247	0.910725	0.919882	0.919882	0.025076	1.193710	0.028641
13	0.909345	0.912851	0.920706	0.920706	0.023956	1.045620	0.035475
14	0.909431	0.912896	0.921582	0.921582	0.024521	0.922485	0.033141
15	0.911305	0.914799	0.923698	0.923698	0.023379	0.810562	0.019262
16	0.910673	0.914157	0.922038	0.922038	0.026041	0.726233	0.022996
17	0.912891	0.916386	0.926561	0.926561	0.022794	0.634053	0.024694
18	0.913972	0.917501	0.928998	0.928998	0.021562	0.560061	0.028023
19	0.913835	0.917328	0.928603	0.928603	0.022651	0.502789	0.026828
20	0.912278	0.915756	0.924679	0.924679	0.026565	0.464198	0.020842
21	0.913075	0.916568	0.925992	0.925992	0.026030	0.416736	0.027774
22	0.914183	0.917706	0.928177	0.928177	0.024430	0.371496	0.021584
23	0.915141	0.918624	0.931089	0.931089	0.022490	0.330728	0.031469
24	0.914849	0.918343	0.930232	0.930232	0.023432	0.304375	0.028540
25	0.915072	0.918564	0.930972	0.930972	0.023121	0.277711	0.028503
26	0.915415	0.918884	0.931672	0.931672	0.022801	0.254445	0.026356
27	0.915595	0.919062	0.932094	0.932094	0.022784	0.235188	0.026458
28	0.916057	0.919535	0.932728	0.932728	0.022491	0.217580	0.025887
29	0.916093	0.919610	0.932732	0.932732	0.023121	0.205275	0.024863
30	0.915886	0.919396	0.931735	0.931735	0.024986	0.199521	0.018548
31	0.917616	0.921159	0.936059	0.936059	0.020972	0.174780	0.017914
32	0.916696	0.920171	0.934248	0.934248	0.022384	0.169973	0.020294
33	0.916669	0.920204	0.933280	0.933280	0.024353	0.168825	0.028599
34	0.916942	0.920490	0.933899	0.933899	0.023946	0.160243	0.031892
35	0.917728	0.921261	0.935485	0.935485	0.021591	0.145920	0.035186
36	0.916363	0.919857	0.932819	0.932819	0.025412	0.154264	0.020567
37	0.917187	0.920726	0.934284	0.934284	0.024343	0.145600	0.016209
38	0.917531	0.921074	0.935135	0.935135	0.023682	0.139155	0.029024
39	0.917689	0.921238	0.935613	0.935613	0.023366	0.134512	0.037121
40	0.917185	0.920705	0.934248	0.934248	0.024867	0.137044	0.042753
41	0.918131	0.921646	0.936942	0.936942	0.021773	0.123238	0.026327
42	0.917954	0.921442	0.937060	0.937060	0.022033	0.121785	0.023826
43	0.918484	0.922022	0.937459	0.937459	0.021522	0.118052	0.023135
44	0.918166	0.921669	0.937251	0.937251	0.022453	0.119476	0.034331
45	0.918234	0.921779	0.936331	0.936331	0.023795	0.122757	0.026376
46	0.918412	0.921921	0.937606	0.937606	0.022500	0.116734	0.023770
47	0.918436	0.921922	0.937977	0.937977	0.022237	0.114648	0.022684
48	0.917271	0.920746	0.934114	0.934114	0.025554	0.125929	0.023555
49	0.919286	0.922835	0.938827	0.938827	0.021096	0.108790	0.016356
50	0.918721	0.922191	0.938614	0.938614	0.022092	0.111353	0.022707
51	0.918916	0.922409	0.938648	0.938648	0.022336	0.111492	0.020437
52	0.918924	0.922470	0.937465	0.937465	0.023644	0.115611	0.028978
53	0.920066	0.923608	0.939878	0.939878	0.020083	0.102777	0.018911
54	0.919188	0.922673	0.939180	0.939180	0.022226	0.109439	0.034209
55	0.918945	0.922483	0.937121	0.937121	0.024105	0.115871	0.031940
56	0.920124	0.923676	0.940205	0.940205	0.020575	0.102988	0.026247
